,term_1,term_2,term_3,term_4,term_5
BI and Visualization,business,business intelligence,intelligence,intelligence engineer,engineer business
Cloud and Database,cloud database,database engineer,database,engineer cloud,cloud
Data Analysis,data analyst,analyst,analyst data,data,business data
Data Architecture and Modeling,data architect,architect data,architect,data,data modeler
Data Engineering,data engineer,engineer data,engineer,data,etl
Data Management and Strategy,data specialist,specialist data,specialist,data,data management
Data Quality and Operations,data operations,operations,data,quality,data quality
Data Science and Research,scientist,data scientist,scientist data,data,research
Leadership and Management,analytics,analytics engineer,engineer analytics,engineer,data manager
Machine Learning and AI,learning engineer,learning,machine,machine learning,engineer machine
